,Event,Time,Port,Vessel,VesselType
0,Arrival,2019-12-02 15:09,TEES,SVITZER BRISTOL [GB],tug
1,Arrival,2019-12-02 15:08,ROTTERDAM,KRVE 59 [NL],high speed
2,Arrival,2019-12-02 15:08,ROUSAY,MV SHAPINSAY [GB],passenger
3,Arrival,2019-12-02 15:08,CALETA LA ARENA,DON JUAN [CL],passenger
4,Arrival,2019-12-02 15:08,BAKAUHENI,WINDU KARSA PRATAMA [ID],passenger
5,Departure,2019-12-02 15:08,LIVERPOOL,SNOWDROP [GB],passenger
6,Departure,2019-12-02 15:08,CRUZ BAY,RED HOOK 1 [VI],passenger
7,Arrival,2019-12-02 15:08,SALTHOLMEN,TARNTANK TEKNIK [SE],yacht
8,Arrival,2019-12-02 15:08,HONG KONG,XIN CHAO [HK],passenger
9,Departure,2019-12-02 15:08,RAMSGATE,ESTUARY ELAN [GB],tug
10,Departure,2019-12-02 15:08,VASHON ISLAND,WSF KITSAP [US],passenger
11,Departure,2019-12-02 15:08,GELKENES,STAD SCHOONHOVEN [NL],passenger
12,Arrival,2019-12-02 15:08,SCHOONHOVEN,STAD SCHOONHOVEN [NL],passenger
13,Departure,2019-12-02 15:08,CHANGSHU,CHANGTONGQIDU16HAO [CN],passenger
14,Departure,2019-12-02 15:08,WEIHAI,SHENGSHENG1 [CN],passenger
15,Departure,2019-12-02 15:08,KHOLMSK,POMOR [RU],undefined
16,Arrival,2019-12-02 15:08,QUEBEC,ALPHONSE DESJARDINS [CA],cargo
17,Departure,2019-12-02 15:08,CALETA DEL SEBO,GRACIOSERO DOS [ES],passenger
18,Arrival,2019-12-02 15:08,HASSELT,VIKING [BE],cargo
19,Departure,2019-12-02 15:08,LYMINGTON,WIGHT LIGHT [GB],passenger
20,Arrival,2019-12-02 15:08,NORDERNEY,FRISIA I [DE],passenger
21,Departure,2019-12-02 15:08,FUJAIRAH,ORYX [AE],tug
22,Departure,2019-12-02 15:08,BRUNSBUETTEL,FAEHRE DANZIG [DE],passenger
23,Arrival,2019-12-02 15:08,SALAMINA MEG,AIANTAS [GR],passenger
24,Arrival,2019-12-02 15:08,HELSINGOR,HAMLET [DK],passenger
25,Departure,2019-12-02 15:08,MESSINA,SALERNO JET [IT],passenger
26,Arrival,2019-12-02 15:08,CIRKEWWA,248692000 [MT],passenger
27,Departure,2019-12-02 15:08,PLYMOUTH,SD FORCEFUL [GB],tug
28,Departure,2019-12-02 15:08,GOLFE JUAN,NOVASTAR [FR],yacht
29,Arrival,2019-12-02 15:08,OUD BEIJERLAND,OTTER [NL],passenger
30,Arrival,2019-12-02 15:08,TILBURY,THAMES SWIFT [GB],undefined
31,Departure,2019-12-02 15:08,MIAMI,BETTY K VII [US],cargo
32,Departure,2019-12-02 15:08,HONG KONG,PILOT10 [HK],tug
33,Arrival,2019-12-02 15:08,PASAI SAN PEDRO,FACAL DIECIOCHO [ES],tug
34,Arrival,2019-12-02 15:08,BREMERTON,WATERMAN [US],undefined
35,Departure,2019-12-02 15:08,BRIXHAM,MFV SAM OF LADRAM [GB],fishing
